Datum (Ortszeit);Stunde des Tages (Ortszeit);Vollständigkeit;ZScore_Det0;ZScore_Det1;ZScore_Det2;hist_cor;localTime;month;qkfz;qlkw;qpkw;utc;vkfz;vlkw;vpkw
2024-03-01;0;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-02-29 23:00:00+00:00;NaN;NaN;NaN
2024-03-01;1;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 00:00:00+00:00;NaN;NaN;NaN
2024-03-01;2;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 01:00:00+00:00;NaN;NaN;NaN
2024-03-01;3;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 02:00:00+00:00;NaN;NaN;NaN
2024-03-01;4;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 03:00:00+00:00;NaN;NaN;NaN
2024-03-01;5;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 04:00:00+00:00;NaN;NaN;NaN
2024-03-01;6;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 05:00:00+00:00;NaN;NaN;NaN
2024-03-01;7;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 06:00:00+00:00;NaN;NaN;NaN
2024-03-01;8;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 07:00:00+00:00;NaN;NaN;NaN
2024-03-01;9;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 08:00:00+00:00;NaN;NaN;NaN
2024-03-01;10;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 09:00:00+00:00;NaN;NaN;NaN
2024-03-01;11;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 10:00:00+00:00;NaN;NaN;NaN
2024-03-01;12;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 11:00:00+00:00;NaN;NaN;NaN
2024-03-01;13;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 12:00:00+00:00;NaN;NaN;NaN
2024-03-01;14;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 13:00:00+00:00;NaN;NaN;NaN
2024-03-01;15;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 14:00:00+00:00;NaN;NaN;NaN
2024-03-01;16;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 15:00:00+00:00;NaN;NaN;NaN
2024-03-01;17;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 16:00:00+00:00;NaN;NaN;NaN
2024-03-01;18;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 17:00:00+00:00;NaN;NaN;NaN
2024-03-01;19;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 18:00:00+00:00;NaN;NaN;NaN
2024-03-01;20;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 19:00:00+00:00;NaN;NaN;NaN
2024-03-01;21;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 20:00:00+00:00;NaN;NaN;NaN
2024-03-01;22;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 21:00:00+00:00;NaN;NaN;NaN
2024-03-01;23;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;NaN;2024-03-01 22:00:00+00:00;NaN;NaN;NaN
2024-03-01;0;100.00;0.00;0.37;0.00;0.93;2024-03-01 00:00:00+01:00;2.00;154.00;1.00;153.00;2024-02-29 23:00:00+00:00;61.00;67.00;61.00
2024-03-01;1;100.00;0.00;0.05;0.00;0.88;2024-03-01 01:00:00+01:00;3.00;99.00;1.00;98.00;2024-03-01 00:00:00+00:00;57.00;58.00;57.00
2024-03-01;2;100.00;0.00;0.05;0.00;0.88;2024-03-01 02:00:00+01:00;3.00;66.00;0.00;66.00;2024-03-01 01:00:00+00:00;60.00;NaN;60.00
2024-03-01;3;100.00;0.00;0.05;0.00;0.88;2024-03-01 03:00:00+01:00;3.00;61.00;2.00;59.00;2024-03-01 02:00:00+00:00;65.00;66.00;65.00
2024-03-01;4;100.00;0.00;0.05;0.00;0.88;2024-03-01 04:00:00+01:00;3.00;82.00;1.00;81.00;2024-03-01 03:00:00+00:00;64.00;61.00;64.00
2024-03-01;5;100.00;0.00;0.05;0.00;0.88;2024-03-01 05:00:00+01:00;3.00;264.00;2.00;262.00;2024-03-01 04:00:00+00:00;67.00;68.00;67.00
2024-03-01;6;100.00;0.00;0.05;0.00;0.88;2024-03-01 06:00:00+01:00;3.00;581.00;32.00;549.00;2024-03-01 05:00:00+00:00;61.00;60.00;61.00
2024-03-01;7;100.00;0.00;0.05;0.00;0.88;2024-03-01 07:00:00+01:00;3.00;820.00;173.00;647.00;2024-03-01 06:00:00+00:00;44.00;49.00;43.00
2024-03-01;8;100.00;0.00;0.05;0.00;0.88;2024-03-01 08:00:00+01:00;3.00;686.00;15.00;671.00;2024-03-01 07:00:00+00:00;28.00;28.00;28.00
2024-03-01;9;100.00;0.00;0.05;0.00;0.88;2024-03-01 09:00:00+01:00;3.00;763.00;75.00;688.00;2024-03-01 08:00:00+00:00;29.00;30.00;29.00
2024-03-01;10;100.00;0.00;0.05;0.00;0.88;2024-03-01 10:00:00+01:00;3.00;812.00;203.00;609.00;2024-03-01 09:00:00+00:00;42.00;42.00;42.00
2024-03-01;11;100.00;0.00;0.05;0.00;0.88;2024-03-01 11:00:00+01:00;3.00;800.00;92.00;708.00;2024-03-01 10:00:00+00:00;37.00;38.00;37.00
2024-03-01;12;100.00;0.00;0.05;0.00;0.88;2024-03-01 12:00:00+01:00;3.00;879.00;134.00;745.00;2024-03-01 11:00:00+00:00;37.00;39.00;37.00
2024-03-01;13;100.00;0.00;0.05;0.00;0.88;2024-03-01 13:00:00+01:00;3.00;838.00;153.00;685.00;2024-03-01 12:00:00+00:00;38.00;39.00;38.00
2024-03-01;14;100.00;0.00;0.05;0.00;0.88;2024-03-01 14:00:00+01:00;3.00;862.00;181.00;681.00;2024-03-01 13:00:00+00:00;34.00;33.00;34.00
2024-03-01;15;100.00;0.00;0.05;0.00;0.88;2024-03-01 15:00:00+01:00;3.00;752.00;48.00;704.00;2024-03-01 14:00:00+00:00;24.00;24.00;24.00
2024-03-01;16;100.00;0.00;0.05;0.00;0.88;2024-03-01 16:00:00+01:00;3.00;784.00;261.00;523.00;2024-03-01 15:00:00+00:00;31.00;33.00;30.00
2024-03-01;17;100.00;0.00;0.05;0.00;0.88;2024-03-01 17:00:00+01:00;3.00;724.00;296.00;428.00;2024-03-01 16:00:00+00:00;27.00;28.00;27.00
2024-03-01;18;100.00;0.00;0.05;0.00;0.88;2024-03-01 18:00:00+01:00;3.00;753.00;245.00;508.00;2024-03-01 17:00:00+00:00;28.00;29.00;27.00
2024-03-01;19;100.00;0.00;0.05;0.00;0.88;2024-03-01 19:00:00+01:00;3.00;703.00;120.00;583.00;2024-03-01 18:00:00+00:00;42.00;32.00;44.00
2024-03-01;20;100.00;0.00;0.05;0.00;0.88;2024-03-01 20:00:00+01:00;3.00;616.00;15.00;601.00;2024-03-01 19:00:00+00:00;47.00;46.00;47.00
2024-03-01;21;100.00;0.00;0.05;0.00;0.88;2024-03-01 21:00:00+01:00;3.00;688.00;16.00;672.00;2024-03-01 20:00:00+00:00;47.00;47.00;47.00
