detector_id,completeness
TEU00211_Det0,100.0
TEU00211_Det1,100.0
TEU00213_Det1,100.0
TEU00213_Det2,100.0
TEU00228_Det0,92.0
TEU00228_Det1,92.0
TEU00244_Det0,66.5
TEU00244_Det1,50.0
TEU00244_Det2,66.5
TEU00245_Det0,100.0
TEU00245_Det1,100.0
TEU00245_Det2,100.0
TEU00248_Det0,100.0
TEU00248_Det1,100.0
TEU00248_Det2,100.0
TEU00249_Det0,100.0
TEU00249_Det1,100.0
TEU00249_Det2,100.0
TEU00256_Det0,8.0
TEU00256_Det1,8.0
TEU00256_Det2,8.0
TEU00257_Det0,100.0
TEU00257_Det1,100.0
TEU00260_Det0,100.0
TEU00260_Det1,100.0
TEU00260_Det2,100.0
TEU00260_Det3,100.0
TEU00262_Det0,100.0
TEU00262_Det1,100.0
TEU00264_Det0,100.0
TEU00264_Det1,100.0
TEU00264_Det2,100.0
TEU00264_Det3,100.0
TEU00268_Det0,100.0
TEU00268_Det1,100.0
TEU00272_Det0,100.0
TEU00272_Det1,100.0
TEU00273_Det0,100.0
TEU00273_Det1,100.0
TEU00274_Det0,100.0
TEU00274_Det1,100.0
TEU00274_Det2,100.0
TEU00274_Det3,100.0
TEU00278_Det0,100.0
TEU00278_Det1,100.0
TEU00278_Det2,100.0
TEU00278_Det3,100.0
TEU00299_Det0,100.0
TEU00299_Det1,100.0
TEU00300_Det0,100.0
TEU00300_Det1,100.0
TEU00301_Det0,100.0
TEU00301_Det1,100.0
TEU00302_Det1,100.0
TEU00302_Det2,100.0
TEU00303_Det1,100.0
TEU00303_Det2,100.0
TEU00305_Det0,100.0
TEU00305_Det1,100.0
TEU00306_Det0,100.0
TEU00307_Det0,100.0
TEU00307_Det1,100.0
TEU00308_Det0,100.0
TEU00308_Det1,100.0
TEU00308_Det2,100.0
TEU00309_Det0,100.0
TEU00309_Det1,100.0
TEU00309_Det2,100.0
TEU00312_Det0,83.0
TEU00312_Det1,83.0
TEU00314_Det0,100.0
TEU00314_Det1,100.0
TEU00320_Det0,100.0
TEU00320_Det1,100.0
TEU00322_Det1,100.0
TEU00323_Det1,100.0
TEU00324_Det0,100.0
TEU00325_Det0,100.0
TEU00329_Det1,92.0
TEU00330_Det0,100.0
TEU00330_Det1,100.0
TEU00332_Det0,100.0
TEU00332_Det1,100.0
TEU00333_Det0,100.0
TEU00333_Det1,100.0
TEU00334_Det0,100.0
TEU00334_Det1,100.0
TEU00334_Det2,100.0
TEU00335_Det1,100.0
TEU00335_Det2,100.0
TEU00338_Det0,100.0
TEU00338_Det1,100.0
TEU00338_Det2,100.0
TEU00339_Det0,100.0
TEU00339_Det1,100.0
TEU00340_Det0,100.0
TEU00340_Det1,100.0
TEU00342_Det0,100.0
TEU00342_Det1,100.0
TEU00345_Det0,58.0
TEU00346_Det0,42.0
TEU00347_Det0,100.0
TEU00347_Det1,100.0
TEU00348_Det0,100.0
TEU00349_Det0,100.0
TEU00349_Det1,100.0
TEU00349_Det2,100.0
TEU00351_Det0,100.0
TEU00351_Det1,100.0
TEU00351_Det2,100.0
TEU00351_Det3,100.0
TEU00352_Det0,100.0
TEU00352_Det1,100.0
TEU00353_Det0,100.0
TEU00353_Det1,100.0
TEU00354_Det0,100.0
TEU00354_Det1,100.0
TEU00355_Det0,100.0
TEU00365_Det0,75.0
TEU00366_Det0,100.0
TEU00367_Det0,100.0
TEU00367_Det1,100.0
TEU00367_Det2,100.0
TEU00368_Det0,100.0
TEU00368_Det1,100.0
TEU00368_Det2,100.0
TEU00369_Det0,100.0
TEU00369_Det1,100.0
TEU00370_Det0,100.0
TEU00370_Det1,100.0
TEU00379_Det0,100.0
TEU00380_Det0,100.0
TEU00384_Det0,92.0
TEU00385_Det0,100.0
TEU00386_Det0,100.0
TEU00386_Det1,100.0
TEU00387_Det0,100.0
TEU00387_Det1,100.0
TEU00388_Det0,100.0
TEU00388_Det1,100.0
TEU00391_Det0,100.0
TEU00391_Det1,100.0
TEU00391_Det2,100.0
TEU00392_Det0,100.0
TEU00392_Det1,100.0
TEU00393_Det1,100.0
TEU00393_Det2,100.0
TEU00394_Det0,100.0
TEU00394_Det1,100.0
TEU00394_Det2,100.0
TEU00395_Det0,100.0
TEU00395_Det1,100.0
